badAloPxRejected,0
open,1
canceled,2
perpMarginRejected,3
iocCancelRejected,4
filled,5
minTradeNtlRejected,6
reduceOnlyCanceled,7
reduceOnlyRejected,8
triggered,9
scheduledCancel,10
siblingFilledCanceled,11
selfTradeCanceled,12
marginCanceled,13
vaultWithdrawalCanceled,14
perpMaxPositionRejected,15
liquidatedCanceled,16
oracleRejected,17
