ts,userId,isBuilder,statusId,isAsk,limitPx,sz,oid,timestampDiff,triggerCondition,triggered,isTrigger,hasChildren,isPositionTpsl,reduceOnly,orderTypeId,tifId,triggerPx,origSz,status,orderType,tif
2025-12-01 12:00:00.360067551,237,False,1,False,126.94,342.31,254384951960,0,0.0,False,False,False,False,False,0,0,0.0,342.31,open,Limit,Alo
2025-12-01 12:00:00.360067551,237,False,1,False,126.85,774.72,254384951962,0,0.0,False,False,False,False,False,0,0,0.0,774.72,open,Limit,Alo
2025-12-01 12:00:00.360067551,237,False,1,False,126.71,1684.42,254384951963,0,0.0,False,False,False,False,False,0,0,0.0,1684.42,open,Limit,Alo
2025-12-01 12:00:00.360067551,288,False,1,False,126.99,590.04,254384952043,0,0.0,False,False,False,False,False,0,0,0.0,590.04,open,Limit,Alo
2025-12-01 12:00:00.360067551,375,False,1,True,127.11,472.06,254384952227,0,0.0,False,False,False,False,False,0,0,0.0,472.06,open,Limit,Alo
2025-12-01 12:00:00.360067551,375,False,1,True,127.1,472.1,254384952252,0,0.0,False,False,False,False,False,0,0,0.0,472.1,open,Limit,Alo
2025-12-01 12:00:00.360067551,327,False,1,True,127.09,944.28,254384952255,0,0.0,False,False,False,False,False,0,0,0.0,944.28,open,Limit,Alo
2025-12-01 12:00:00.360067551,327,False,1,True,127.11,944.09,254384952256,0,0.0,False,False,False,False,False,0,0,0.0,944.09,open,Limit,Alo
2025-12-01 12:00:00.360067551,390,False,1,False,127.05,8.2,254384953345,0,0.0,False,False,False,False,False,0,0,0.0,8.2,open,Limit,Alo
2025-12-01 12:00:00.360067551,390,False,1,False,127.03,15.59,254384953346,0,0.0,False,False,False,False,False,0,0,0.0,15.59,open,Limit,Alo
2025-12-01 12:00:00.360067551,390,False,1,False,126.98,14.43,254384953347,0,0.0,False,False,False,False,False,0,0,0.0,14.43,open,Limit,Alo
2025-12-01 12:00:00.360067551,390,False,1,True,127.09,6.18,254384953348,0,0.0,False,False,False,False,False,0,0,0.0,6.18,open,Limit,Alo
2025-12-01 12:00:00.360067551,2406,False,1,True,127.35,0.4,254384953917,0,0.0,False,False,False,False,False,0,0,0.0,0.4,open,Limit,Alo
2025-12-01 12:00:00.360067551,327,False,1,True,127.08,944.29,254384953985,0,0.0,False,False,False,False,False,0,0,0.0,944.29,open,Limit,Alo
2025-12-01 12:00:00.360067551,375,False,1,False,127.05,472.25,254384953993,0,0.0,False,False,False,False,False,0,0,0.0,472.25,open,Limit,Alo
